ProductLine,Product_Count,Sample_Products
Jams,2,"Kissan Kissan Mix Fruit Jam (8901030831720), Kissan Kissan Mixed Fruit Jam (8901030922787)"
Pond's Men,2,"Pond's Pond's Men Pollution Out Face Wash (8901030722226), Pond's Pond's Men Pollution Out Face Wash (8901030722219)"
Intense Repair,2,"Dove Dove Intense Repair Conditioner (8901030939846), Dove Dove Intense Repair Conditioner (8901030945014)"
Dove Dandruff Care,2,"Dove Dove Dandruff Care Shampoo (8901030764349), Dove Dove Dandruff Care Shampoo (8901030764370)"
Dove Hair Fall Rescue,2,"Dove Dove Hair Fall Rescue Nourishing Shampoo (8901030945328), Dove Dove Hair Fall Rescue Nourishing Shampoo (8901030945496)"
Dove Dryness Care,2,"Dove Dove Dryness Care Conditioner (8901030939792), Dove Dove Dryness Care Shampoo (8901030945458)"
Bringha,2,"Indulekha Indulekha Bringha Hair Fall Control Shampoo (8901030929656), Indulekha Indulekha Bringha Hair Fall Control Shampoo (8901030929649)"
Lakmé 9 To 5,2,"Lakmé Lakmé 9 To 5 Eyeconic Kajal (Deep Black) (8901030979545), Lakmé Lakmé 9 To 5 Sun Expert Gel Light Sunscreen SPF 50 PA+++ (8901030978661)"
Ayurvedic Care,2,"Glow & Lovely Glow & Lovely Ayurvedic Care Cream (8901030971303), Glow & Lovely Glow & Lovely Ayurvedic Care Face Cream (8901030971297)"
Lux Fresh Glow,2,"Lux Lux Fresh Glow Lotus Vitamin C + Mint Soap Set (8901030970214), Lux Lux Fresh Glow Plus Lotus Vitamin C + Mint Bar Soap (8901030970191)"
Lux Bright Glow,2,"Lux Lux Bright Glow Jasmin Bar Soap (8901030930010), Lux Lux Bright Glow Jasmine Soap (8901030925627)"
Luxury Bath Soaps,2,"Moti Moti Luxury Bath Soap Gulab (8901030908330), Moti Moti Luxury Bath Soap Sandal (8901030908316)"
Thick & Long,2,"Sunsilk Sunsilk Thick & Long Conditioner (8901030873942), Sunsilk Sunsilk Thick & Long Conditioner (8901030873904)"
Iron Supplements,2,"Elements Elements Fealing Iron Capsules (8906109500040), Elements Elements Feeling Iron Capsules (8901030967054)"
Tide Detergent Bars,2,"Tide Tide Blue Detergent Bar Multipack (4 x 115g) (4987176175366), Tide Tide White Detergent Bar Soap (200g, 4+1 Free) (4987176175304)"
Tide Ultra,2,"Tide Tide Ultra 3-in-1 Clean Detergent Washing Powder (4987176159144), Tide Tide Ultra 3-in-1 Clean Detergent Washing Powder (4987176159151)"
Matic Top Load,2,"Ariel Ariel Matic Top Load Detergent Powder (4+2) 6kg (4987176185488), Ariel Ariel Matic Top Load Laundry Detergent (4987176126641)"
Vicks Baby,2,"Vicks Vicks BabyRub (4987176168405), Vicks Vicks BabyRub (4987176168399)"
Vicks Inhalers,2,"Vicks Vicks Inhaler with Keychain Balm (4987176191380), Vicks Vicks Roll-On Inhaler 2-in-1 (4987176198709)"
Oral-B Cavity Defence,2,"Oral-B Oral-B Cavity Defence 123 Medium Toothbrush (4902430345286), Oral-B Oral-B Soft Cavity Defence Toothbrush Pack of 6 (4987176231543)"
Oral-B Fresh Clean,2,"Oral-B Oral-B Fresh Clean Charcoal Medium Toothbrush (4987176037121), Oral-B Oral-B Fresh Clean with Neem Medium Toothbrush (4902430853002)"
Air Effect,2,"Ambi Pur Ambi Pur Air Effect Air Freshener Rose Blossom (4987176128065), Ambi Pur Ambi Pur Air Effect Exotic and Jasmine Air Freshener (4987176128072)"
Air Effects,2,"Ambi Pur Ambi Pur Air Effects Air Freshener (Sandalwood) (4987176128096), Ambi Pur Ambi Pur Air Effects Air Freshener (Sweet Berries) (4987176128089)"
Oral-B Cavity Defense,2,"Oral-B Oral-B Cavity Defense Toothbrush (4987176202437), Oral-B Oral-B Cavity Defense Toothbrush with Clove Extract (3-Pack) (4987176202406)"
Oral-B Pro-Health,2,"Oral-B Oral-B Pro-Health 7 Benefit Soft Toothbrush (4987176240019), Oral-B Oral-B Pro-Health Antibacterial Toothbrush (4902430783194)"
Criss-Cross,2,"Oral-B Oral-B Criss-Cross Gum Care Toothbrush (4987176086518), Oral-B Oral-B Criss-Cross Toothbrush Medium Anti-Plaque (Family Pack) (4987176239990)"
Old Spice Body Wash,2,"Old Spice Old Spice Body Wash (4987176176745), Old Spice Old Spice Body Wash (4987176029966)"
Old Spice Aftershave,2,"Old Spice Old Spice After Shave Lotion (4987176176837), Old Spice Old Spice Aftershave Lotion - Atomizer Spray (4987176177742)"
Gillette ProShield,2,"Gillette Gillette ProShield Chill Menthol Shave Gel (4987176105943), Gillette Gillette ProShield Icy Cool After Shave Splash (4987176198259)"
Old Spice Original,2,"Old Spice Old Spice Original After Shave Lotion (4987176176868), Old Spice Old Spice Original Pocket Deodorant Body Spray (2 x 17ml) (4987176188601)"
Gillette Sensitive,2,"Gillette Gillette Sensitive Deep Comfort Eucalyptus Oil Shave Gel (4987176105967), Gillette Gillette Sensitive Shaving Foam (4987176135872)"
Gillette Sensitive Skin,2,"Gillette Gillette Pre Shave Gel Sensitive Skin (4987176030023), Gillette Gillette Sensitive Skin Soothing Aloe Vera Shave Gel (4987176105981)"
Gillette Comfortable Glide,2,"Gillette Gillette Comfortable Glide Shave Gel (4987176106018), Gillette Gillette Comfortable Glide Shave Gel (4987176193629)"
Gillette Shaving,2,"Gillette Gillette Pre Shave Cream (Regular) (4987176198242), Gillette Gillette Pre Shave Foam with Neem (4987176177681)"
Gillette After Shave,2,"Gillette Gillette After Shave Splash Refreshing Breeze (4987176198266), Gillette Gillette Refreshing Breeze After Shave Splash (4987176198228)"
Gillette Shaving Cream,2,"Gillette Gillette Lime Shaving Cream (4987176150585), Gillette Gillette Regular Shaving Cream (4987176150578)"
Gillette Fusion ProGlide,2,"Gillette Gillette Fusion ProGlide Razor with Styling Gel (4987176103239), Gillette Gillette Fusion ProGlide Styler 3-in-1 Razor (4987176164810)"
Gillette Vector Plus,2,"Gillette Gillette Vector Plus Razor Cartridges (4987176102003), Gillette Gillette Vector Plus Shaving Razor Blades (Cartridge) (4987176101990)"
Gillette Guard 3,2,"Gillette Gillette Guard 3 Long Cartridge Refill (4987176102072), Gillette Gillette Guard 3 Razor Blade Cartridges (6 Pack) (4987176151667)"
Whisper Ultra Clean,2,"Whisper Whisper Sanitary Pads Ultra Clean XL Wings (4987176237033), Whisper Whisper Ultra Clean Sanitary Pads, XL+ (4987176237149)"
Whisper Ultra Nights,2,"Whisper Whisper Ultra Nights XXL Sanitary Pads (4987176182920), Whisper Whisper Ultra Nights XXL Wings Sanitary Napkins (4987176177261)"
Whisper Choice Ultra,2,"Whisper Whisper Choice Ultra Sanitary Pads (4987176246325), Whisper Whisper Choice Ultra Sanitary Pads with Magic Gel (4987176246356)"
Whisper Ultra Skin Love,2,"Whisper Whisper Ultra Skin Love Soft Pad (4987176192097), Whisper Whisper Ultra Skin Love Soft Sanitary Pads (XL+) (4987176192127)"
Maxi Nights,2,"Whisper Whisper Maxi Nights Sanitary Pads (XL+ Wings) (4987176252623), Whisper Whisper Maxi Nights Sanitary Pads (XL+ Wings) (4987176252647)"
Apsara Drawing Pencils,2,"Apsara Apsara Drawing Pencil Set (8901324057836), Apsara Apsara Drawing Pencils 9B - 10 Pencils Box (8901324021271)"
DOMS Erasers,2,"DOMS DOMS Sports Car Eraser (8906073772832), DOMS DOMS Triangular Eraser (5 Pack) (8908000034792)"
Y1,2,"DOMS DOMS Y1 Extra Dark Triangle Pencil (8908004279328), Doms Doms Y1 Extra Dark Triangle Pencils with Free Sharpener and Eraser (8906073770463)"
DOMS Art Supplies,2,"DOMS DOMS Extra Long Pencil Sharpeners (Set of 20) (8908000034259), DOMS DOMS Wooden Color Pencils (12 Pack) (8908000034457)"
Nataraj Measuring Instruments,2,"Nataraj Nataraj 12-inch Plastic Scale (10 Pack) (8901324581140), Nataraj Nataraj 15cm Scale (8901324581027)"
Doms Measuring Tools,2,"Doms Doms 15cm / 6 Inch Scale (Set of 10) (8908000034341), Doms Doms Plastic Ruler (15cm) (8908000034334)"
Doms Brush Pens,2,"Doms Doms 8137 Brush Pen Set (8906073781377), Doms Doms 8441 Brush Pen Set (26 Shades) (8906073784415)"
DOMS Crayons,2,"DOMS DOMS 7122 Plastic Crayons (28 Colors) (8906073771224), DOMS DOMS Long Jumbo Wax Crayons (8908000034686)"
Doms Modelling Dough,2,"Doms Doms Modelling Dough (150g, 10 Shades) (8906073787812), Doms Doms Modelling Dough (8 Shades) (8906073787898)"
Poster Colours,2,"Doms Doms Poster Colours (6 Shades) (8906073771002), Doms Doms Poster Colours 12 Shades (8906073771156)"
DOMS Modelling Clay,2,"DOMS DOMS Modelling Clay 24 Shades (300g) with Accessories (8906073784620), DOMS DOMS Modelling Clay 8 Shades (100g) with 2 Shape Toys (8906073784583)"
Inky Monster,2,"Flair Flair Inky Monster Liquid Ink Fountain Pen (8901765095022), Flair Flair Inky Monster Liquid Ink Fountain Pen (8901765132246)"
Colourmate,2,"Doms Doms Colourmate Synthetic Hair Brush (8906073783418), Doms Doms Colourmate Synthetic Hair Brush Set (8906073787928)"
Unotack,2,"Kangaro Kangaro Unotack Heavy Duty 23/8"" Staple Pins (8901238158018), Kangaro Kangaro Unotack Staple Tacker TP (8901238150012)"
Axis,2,"Cello Cello Axis Mechanical Pencil (0.5mm) (8907234503814), Cello Cello Axis Mechanical Pencil (0.7mm) (8907234503838)"
Klick Pro,2,"Camlin Camlin Klick Pro Mechanical Pencil (8901425088487), Camlin Camlin Klick Pro Mechanical Pencil (8901425048511)"
Fevistik,2,"Fevicol Fevicol Fevistik Dangler Glue Stick (8901860633501), Fevicol Fevicol Fevistik Glue Stick (8901860633532)"
Flair Glass Gel Pens,2,"Flair Flair Glass Gel Pen (8901765091680), Flair Flair Glass Gel Pen - Blue (8901765118202)"
Pentonic B,2,"Pentonic Pentonic B Ballpoint Pen (8904106857815), Pentonic Pentonic B RT Ball Point Pen (8904106857822)"
Robomax,2,"Rorito Rorito Robomax Pen Future Now (Blue) (8902532046438), Rorito Rorito Robomax Refill BR24 (8902532046674)"
Trimax,2,"Reynolds Reynolds Trimax Blue Pen (8904275300365), Reynolds Reynolds Trimax Refil Blue 0.5mm (8904275300402)"
Maxtron,2,"Rorito Rorito Maxtron Gel Pen - Blue (8902532047008), Rorito Rorito Maxtron Gel Pen Refill - Blue (8902532047183)"
SRX,2,"Flair Flair SRX Ball Pen - Blue (8901765144843), Flair Flair SRX Retractable Ball Pen (8901765118172)"
XO,2,"Hauser Hauser XO Ball Pens (Pack of 10) (8901765126207), Hauser Hauser XO Gel Pens (Pack of 10) (8901765092212)"
Techno Tip,2,"Cello Cello Techno Tip Ball Pen Black (8907234004311), Cello Cello Techno Tip Ballpoint Pens (Blue) (8907234004342)"
Grocery,2,"Zee Novelties Pasta1 (8901372174707), Zee Novelties Pasta1 (8901372174691)"
Instyle,2,"Cello Cello Instyle 18/8 Stainless Steel Water Bottle (8901372161912), Cello Cello Instyle Stainless Steel Vacusteel Flask (8901372161899)"
Bentley,2,"Cello Cello Bentley Vacuum Insulated Stainless Steel Water Bottle (8901372144380), Cello Cello Bentley1100 Stainless Steel Water Bottle (8901372144397)"
H2O,2,"Cello Cello H2O Plastic Fridge Water Bottle (8901372110880), Cello Cello H2O Unbreakable Water Bottle (8901372110224)"
Venice,2,"Cello Cello Venice Plastic Bottle (8901372110811), Milton Milton Venice Insulated Inner Stainless Steel Casserole (8902061019538)"
Neo Kent,2,"Cello Cello Neo Kent Vacusteel Stainless Steel Water Bottle (8901372198352), Cello Cello Neo Kent Vacusteel Stainless Steel Water Bottle (8901372198369)"
Monty,2,"Cello Cello Monty Vacuum Insulated Travel Mug (8901372161813), Cello Cello Monty Vacuum Insulated Travel Mug (8901372172840)"
Cello Buckets,2,"Cello Cello Designer Bucket (Orange, 16L) (8901372156123), Cello Cello Designer Bucket (Pink, 16L) (8901372156116)"
Classmate Drawing Books,2,"Classmate Classmate Drawing Book (8902519001931), Classmate Classmate Drawing Book (Soft Cover, 40 Pages) (8902519001955)"
Thermo Click,2,"Cello Cello Thermo Click Stainless Steel Lunch Pack (8901372169802), Cello Cello Thermo Click Stainless Steel Lunch Pack (8901372169819)"
Fackelmann Kitchenware,2,"Fackelmann Fackelmann Ceramic Nonstick Kadhai with Glass Lid (24 cm) (8904420500725), Fackelmann Fackelmann Nylon Chinese Turner, 30cm (4008033492744)"
Gebi Cleaning Brushes,2,"Gebi Gebi Classy Sink Brush (8906006804906), Gebi Gebi Cloth Brush (Big Miss Universe Blue) (8906006800748)"
Essence,2,"JAY FOODS Essence 500ml (8901559104923), Yardley London Yardley London Essence Eau De Parfum (8903105034005)"
Kitchen Accessories,2,"PRESTIGE PRESTIGE LPG Hose (1.5m) with Pressure Regulator (8901365740803), Rimei Rimei Bottle Opener (6926292521013)"
Casio MJ Series,2,"Casio Casio MJ-100DA Calculator (4971850032892), Casio Casio MJ12D Desktop Calculator (4549526600517)"
MJ Series,2,"CASIO CASIO MJ-12SB Calculator (4549526701184), Casio Casio MJ-120D Check Correct Calculator (4971850091028)"
Philips Hair Dryers,2,"Philips Philips GC1905 1440-Watt Hair Dryer (8710103552505), Philips Philips HP8142/00 Hair Dryer (Blue) (8710103703914)"
Philips BT Series,2,"PHILIPS PHILIPS BT1230/18 Beard Trimmer (8720689008846), PHILIPS PHILIPS BT1235/18 Beard Trimmer (8720689008808)"
Travel Adapters,2,"GM GM 3-Pin Travel Universal Multi Plug with Surge Protector (8904037801963), GM GM 3-Pin Universal Multi-Plug Travel Adaptor (6 AMP) (8904037890752)"
Treo Cube Storage,2,"Treo Treo Cube Storage Glass Jar (8902061128742), Treo Treo Cube Storage Glass Jar (8902061128759)"
Ovensafe Glassware,2,"Treo Treo Ovensafe Rectangular Borosilicate Glass Dish (8902061239592), Treo Treo Ovensafe Rectangular Borosilicate Glass Dish (8902061239608)"
Nakoda Royal,2,"Nakoda Nakoda Mini Royal Plastic Multipurpose Picnic Basket (8904073806762), Nakoda Nakoda Royal Multipurpose Storage & Carry Basket (8904073805222)"
Modulo,2,"Nakoda Nakoda Modulo Multipurpose Chest Storage Drawer Organiser (4 Steps) (8904073809428), Nakoda Nakoda Modulo Multipurpose Chest Storage Drawer Organizer (8904073809411)"
Hazel,2,"Nakoda Nakoda Hazel Pedal Waste & Dust Bin with Inner Bucket (8904073807462), Nakoda Nakoda Hazel Table Top Pedal Dustbin (8904073809565)"
Solitaire,2,"Aristo Aristo Solitaire Multipurpose Plastic Basket (224) Without Lid (8904114511426), Aristo Aristo Solitaire Multipurpose Plastic Basket with Lid (8904114510610)"
Prestige Judge,2,"Prestige Prestige Judge Aluminium Pressure Cooker (Non-Induction Base) (8901365120513), Prestige Prestige Judge Deluxe 3 Burner Glass Top LPG Stove (8901365500131)"
Judge by Prestige,2,"Judge by Prestige Judge Glass Top LPG Stove Deluxe 4 Burner (8901365500148), Prestige Prestige Judge Classic Stainless Steel Saucepan (8901365372677)"
ALL TIME Kitchenware,2,"ALL TIME ALL TIME Mixing Bowl (8902084019010), ALL TIME ALL TIME Soup Strainer (8902084001114)"
All Time Kitchenware,2,"All Time All Time Mixing Bowl (8902084004313), All Time All Time Soup Strainer (8902084000414)"
Saucepans,2,"Vinod Vinod Stainless Steel Induction Base Sauce Pan (827016129132), Vinod Vinod Two-Tone Stainless Steel Saucepot with Glass Lid (827016172169)"
Toilex,2,"Gala Gala Toilex Roundy Scrub Brush (8901663003273), Gala Gala Toilex Square Toilet Paper (8901663002870)"
BlendLab Pro,2,"YFL HOME YFL HOME BlendLab Pro 2.0 Mixer Grinder (8901365203353), YFL HOME YFL HOME BlendLab Pro 2.0 Mixer Grinder (8901365207047)"
Magic Plus,2,"Prestige Prestige Magic Plus GTMP (8901365403975), Prestige Prestige Magic Plus GTMP (8901365403982)"
Whizstar,2,"Impex Impex Whizstar Deco 1200mm Ceiling Fan (8906126687113), Impex Impex Whizstar Deco 1200mm Ceiling Fan (8906126687359)"
Judge Everyday,2,"Judge Judge Everyday 260 Fry Pan (8901365372806), Judge by Prestige Judge Everyday 220 Kadai (8901365372813)"
Prestige Omega Select Plus,2,"Prestige Prestige Omega Select Plus Deep 20cm Appachetty with Stainless Steel Lid (8901365307396), Prestige Prestige Omega Select Plus Omni Tawa 300mm (8901365307112)"
Omega Deluxe,2,"Prestige Prestige Omega Deluxe Aluminium Non-Stick Granite Cookware Fry Pan (8901365363057), Prestige Prestige Omega Deluxe Granite Finish Non-Stick Dosa Tawa (8901365368625)"
Flymax,2,"Rorito Rorito Flymax Gel Pen (Black) (8902532045356), Rorito Rorito Flymax Gel Pen (Blue) (8902532045363)"
Marina,2,"Borosil Borosil Marina Glass Jug with Glass Handle (8901309215657), Borosil Borosil Marina Jug with Glass Handle, 1.3 Litre (8901309215664)"
General Purpose Scissors,2,"Deli Deli Scissors (6921734924520), Scissors 210mm PP Handle Scissors (Left or Right Handed) (6921734960108)"
DELI Scissors,2,"DELI DELI PP Stainless Steel Scissors (170mm) (6935205380203), DELI DELI PP Stainless Steel Scissors 170mm (6921734906038)"
Glycer,2,"Linc Linc Glycer Blue Ball Pen (8904106831242), Linc Linc Glycer Smooth Ball Pen (8904106834830)"
Hair Dryers,2,"Babila Babila Hair Dryer (8906034033309), Philips Philips Hair Dryer BHC017 (8710103940180)"
Philips Steam Irons,2,"Philips Philips DST0810/30 1250 Watt Steam Iron (8720389031793), Philips Philips GC157/02 1100W Steam Iron (8710103618959)"
Philips Irons,2,"PHILIPS PHILIPS GC090/20 750W Dry Iron (8710103884521), Philips Philips Dry Iron HI114/28 (8901437001801)"
Marvel,2,"Milton Milton Marvel 1500 Inner Steel Casserole (8902061016971), Milton Milton Marvel 3500 (8902061015523)"
Pearl,2,"Milton Milton Pearl Casserole (8902061019866), Milton Milton Pearl Insulated Inner Stainless Steel Casserole (8902061019859)"
Beverage Dispensers,2,"MILTON MILTON 3.09L Beverage Dispenser Flask (8902061101240), Milton Milton Beverage Dispenser Stainless Steel Flask (8902061101233)"
Crown,2,"Milton Milton Crown 900 ML Thermosteel Water Bottle (8902061100939), Milton Milton Crown TS192 Vacuum Insulated Bottle (8902061100922)"
Brim,2,"MILTON MILTON Brim 750 Stainless Steel Water Bottle (690ml) (8902061292283), Milton Milton Brim Stainless Steel Water Bottle (8902061292276)"
Max,2,"Maharsh Maharsh Max Women's Disposable Razor (6924565966882), Milton Milton Max Stainless Steel Water Bottle (8902061290494)"
Milton Stream,2,"Milton Milton Stream 750ml Stainless Steel Water Bottle (8902061291798), Milton Milton Stream 750ml Stainless Steel Water Bottle (8902061291781)"
Head & Shoulders Anti-Dandruff,2,"Head & Shoulders Head & Shoulders 2 in 1 Anti-Dandruff Active Protect Shampoo & Conditioner (4987176073051), Head & Shoulders Head & Shoulders Anti-Dandruff Neem Shampoo (4987176073044)"
Organic,2,"Old ORG ALOE GEL (8908008015632), Old ORG B/LTN COCO BUTR (8908008015243)"
Organic Scrubs,2,"Old ORG SCRB COFFE (8908008015786), Old ORG SCRB WALNT 50ml (8908008015793)"
Sunscreen,2,"Old ORG SUN LTN SANDL&TURMER SPF30 Sunscreen (8908008015267), Plum Plum Rice Water & 2% Niacinamide Hybrid Sunscreen SPF 50 PA+++ (8904430201070)"
Cotton Products,2,"Absorbent Absorbent Cotton 25g Pack of 5 (8908005946274), Tulips Tulips Cotton Balls (8904117400338)"
Standard,2,"Butterfly Butterfly Standard Aluminium Pressure Cooker, 3 Litre (8906022171143), Vector Vector Standard Refillable Fountain Pen (8901198429777)"
NHT,2,"NOVA NOVA NHT 1039 USB Rechargeable Trimmer (6921522710397), NOVA NOVA NHT 1076 Trimmer (6921522710762)"
TrueMixx Pro,2,"Bosch Bosch TrueMixx Pro MGM8856BIN 1000 Watt 5-Jar Mixer Grinder (4242005436972), Bosch Bosch TrueMixx Pro Mixer Grinder MGM8842DIN (4242005348718)"
MGM,2,"Bosch Bosch MGM6644BIN 750 Watt 4-Jar Mixer Grinder (4242005252992), Bosch Bosch MGM8842GIN 1000 Watt 4-Jar Mixer Grinder (4242005248414)"
Oil Press Makers,2,"Gorek Gorek Technologies GT OT 600 Watts Oil Press Maker Machine (4242005348824), Gorek Gorek Technologies GT-OT 600 Watts Oil Press Maker Machine (4242005431649)"
Mehndi,2,"Shop Black Rose Black Rose Kali Mehandi (815865000122), Singh Singh Mehndi Cone (8908020049127)"
Men's Underwear & Socks,2,"Jockey Jockey Men's Ankle Length Cotton Socks (8901326114049), Jockey Jockey Men's Cotton Regular Socks (Pack of 3) (8901326039144)"
Godrej Cartini,2,"Godrej Godrej Cartini Chef's Pizza Slicer No. 6368 (8904039463688), Godrej Godrej Cartini Little Scissor (8904039471355)"
Acrylic Paints,2,"FEVICRYL FEVICRYL Acrylic Colour 25 Violet 15ml (8901860510239), Online Acrylic Colour (8901860510055)"
Pantene Advanced Hair Fall Solution,2,"Pantene Pantene Advanced Hair Fall Solution Conditioner (4902430899406), Pantene Pantene Advanced Hair Fall Solution Total Damage Care Deep Repair Shampoo (4902430899161)"
Silky Smooth,2,"Pantene Pantene Silky Smooth Shampoo (4987176234209), Pantene Pantene Silky Smooth Shampoo (4987176234407)"
Pantene Advanced Hairfall Solutions,2,"Pantene Pantene Advanced Hairfall Solutions Silky Smooth Care Conditioner (4902430899451), Pantene Pantene Advanced Hairfall Solutions Total Damage Care Shampoo (4902430346160)"
Pressure Cooker Accessories,2,"Hawkins Hawkins Pressure Regulator (8901165204017), Prestige Prestige Rubber Mini Sealing Ring Gasket for 3/4 Liter Pressure Cookers (8901365600008)"
Hawkins Pressure Cookers,2,"Hawkins Hawkins Hawkins B30 5-Liter Stainless Steel Pressure Cooker (8901165041803), Hawkins Hawkins Stainless Steel Inner Lid Pressure Cooker (HSS3T) (8901165048802)"
Bigen Speedy Color,2,"Bigen Bigen Men's Speedy Color Hair Dye, Dark Brown 103 (4987205934599), Bigen Bigen Men's Speedy Color Hair Dye, Natural Black 101 (4987205934575)"
Men's Beard Colour,2,"Bigen Bigen Men's Beard Colour Dark Brown 103 (8858838100032), Bigen Bigen Men's Beard Colour Natural Black 101 (8858838100018)"
Advanced Clean,2,"Morisons Morisons Advanced Clean Soft Brush 1N (8901097007045), Morisons Morisons Advanced Clean Soft Brush 1N (8901097009537)"
Beard Oil,2,"Beardo Beardo Beard Oil 50ml (8906084790320), Bigen Bigen Beard Oil Shiny & Smooth (4549228118839)"
Vcare Hair Color,2,"Vcare Vcare Moustache & Beard Shampoo Hair Color (8904089100502), Vcare Vcare Shampoo Hair Color, Black (8904089100328)"
Cotton Buds,2,"Trutip Trutip Cotton Buds (8904304533474), Tulips Tulips Cotton Buds (200 pcs) (8904117401632)"
Z Magnetism,2,"Z Z Magnetism For Men Deodorant Body Spray (8906015120561), Z Z Magnetism For Men Talc Powder (8906015120226)"
VIP Hair Color Shampoos,2,"VIP VIP 3-in-1 Hair Color Shampoo (8908011235003), VIP VIP 5-in-1 Hair Color Shampoo, Brown (8908011235171)"
Glue Traps,2,"Buy M Stick Glue Board Rat Trap (8908005902027), Buy M Stick Glue Board Rat Trap (8908005902034)"
Duracell Ultra,2,"Duracell Duracell Ultra AA Batteries (5000394168152), Duracell Duracell Ultra Alkaline AAA Batteries (5000394168183)"
Roghan Badam Shirin,2,"Hamdard Hamdard Roghan Badam Shirin Oil (8901453038225), Hamdard Hamdard Roghan Badam Shirin Sweet Almond Oil (8901453038232)"
Hair Wax,2,"Beardo Beardo Hair Wax Strong Hold (8906084792751), Beardo Beardo Hair Wax Strong Hold Crystal Gel Wax (8906084792768)"
Beardo Godfather,2,"Beardo Beardo Godfather Beard Oil (8906084790405), Beardo Beardo Godfather Beard Oil Lite (8906084794281)"
Beardo Beard Care,2,"Beardo Beardo Beard Color For Men (Natural) (8906084790764), Beardo Beardo Daily Shine Beard Serum (8906084791617)"
Beardo Ice Blast,2,"Beardo Beardo Ice Blast Body Wash (8906084795790), Beardo Beardo Ice Blast Face Wash (8906084795813)"
Real Man,2,"Real Real Man Deo Fresh Deodorant Morn (8904238302184), Real Real Man Fresh Active Deodorant (8904238302214)"
Garnier Men Power White,2,"Garnier Garnier Men Power White Anti-Dark Cells Fairness Face Wash (8901526006342), Garnier Garnier Men Power White Anti-Fatigue Double Action Whitening Cream (8901526006359)"
Garnier Nutrisse,2,"Garnier Garnier Nutrisse Hair Color 3 Darkest Brown (8901526204465), Garnier Garnier Nutrisse Ultra Color Hair Color (8901526211715)"
Cotton Pads,2,"Tulips Tulips Cotton Pads (8904117400765), Vega Vega Simply Soft Cotton Pads (8904086302107)"
Vitamino Color,2,"L'Oréal Professionnel L'Oréal Professionnel Resveratrol Vitamino Color Mask (8901526509195), L'Oréal Professionnel L'Oréal Professionnel Vitamino Color Shampoo for Colored Hair (8901526509225)"
L'Oréal Professionnel X,2,"L'Oréal Professionnel L'Oréal Professionnel X Product (Specific Product Name Unknown) (8901526406661), L'Oréal Professionnel L'Oréal Professionnel X Product (Specific product needs further identification) (8901526529322)"
Hair Spa,2,"L'Oreal Professionnel L'Oreal Professionnel Hair Spa Smooth Creambath (8901526609154), L'Oréal Professionnel L'Oréal Professionnel Hair Spa Repairing Creambath (8901526609130)"
Safi,2,"Hamdard Hamdard Safi Natural Blood Purifier Syrup (8901453040839), Hamdard Hamdard Safi Syrup Herbal Blood Purifier (8901453040815)"
Lakmé Absolute,2,"Lakmé Lakmé Absolute Blur Perfect Makeup Primer (8901030993374), Lakmé Lakmé Absolute Mattreal Skin Natural Mousse Foundation (8901531300022)"
Pain Relief Products,2,"Amrutanjan Amrutanjan Back Pain Roll-On (8901803001503), Volini Volini Pain Relief Gel (8901296016961)"
Creams & Lotions,2,"VICCO VICCO Turmeric Skin Cream (8901288030302), VICCO VICCO Turmeric Skin Cream (8901288030708)"
Ayurvedic Medicine,2,"Patanjali Patanjali Herbal Tablets or Capsules (8904018301017), Vicco Vicco Turmeric WSO Skin Cream (8901288230153)"
Skin Creams,2,"Himalaya Himalaya Nourishing Skin Cream (8901138506377), Vicco Laboratories Vicco Turmeric Cream (8901288230306)"
Amrutanjan Pain Relief Products,2,"Amrutanjan Amrutanjan Maha Strong Pain Balm (8901803000490), Amrutanjan Amrutanjan Spray (8901803007734)"
Opti Repair,2,"Matrix Matrix Opti Repair Professional Liquid Protein Conditioner (8901526603329), Matrix Matrix Opti Repair Professional Liquid Protein Shampoo (8901526603350)"
Biolage,2,"Matrix Matrix Biolage Deep Smoothing Shampoo (8901526407262), Matrix Matrix Biolage Ultra Hydrating Conditioner (8901526406890)"
Biolage Colorlast,2,"Matrix Matrix Biolage Colorlast Color Protecting Conditioner (8901526406951), Matrix Matrix Biolage Colorlast Color Protecting Shampoo (8901526406982)"
Biolage Advanced Fiberstrong,2,"Matrix Biolage Matrix Biolage Advanced Fiberstrong Bamboo Conditioner (8901526406777), Matrix Matrix Biolage Advanced Fiberstrong Shampoo (8901526406944)"
Biolage Smoothproof,2,"Matrix Matrix Biolage Smoothproof Avocado Deep Smoothing Serum (8901526406722), Matrix Matrix Biolage Smoothproof Smoothing Conditioner (8901526406807)"
Dead Line,2,"Mukund Mukund Dead Line Bug Fighter (8906101040018), Mukund Mukund Dead Line Bug Fighter (8906101040032)"
Lia Room Fresheners,2,"Buy Lia Room Freshener Chandanam (8903664054124), Lia Lia Royal Orchid Room Freshener (8903664056241)"
Lia Car Gel,2,"Lia Lia Car Gel Alpine Valley Tranquil (8903664054087), Lia Lia Car Gel Aqua Dream Serena (8903664054094)"
Facial Cleansers,2,"Himalaya Himalaya Purifying Neem Face Wash (8901138844172), Sebamed Sebamed Clear Face Cleansing Bar Soap PH5.5 (4103040895516)"
Lip Defense,2,"Sebamed Sebamed Lip Defense (4103040044754), Sebamed Sebamed Lip Defense with SPF 30 (4103040915641)"
